Date,Meal,Calories,Fat (g),Carbohydrates (g),Fiber (g),Sugar (g),Protein (g),Sodium (mg),Water (ml)
2026-06-08,DailySummary,2296,81.7,247.2,35.4,19.5,142.9,2771.0,3207.0
2026-06-09,DailySummary,2353,59.5,263.3,29.9,49.6,191.0,1824.0,3181.0
2026-06-10,DailySummary,2020,56.2,225.6,43.3,59.7,152.9,2743.0,3550.0
2026-06-11,DailySummary,1603,45.4,116.0,35.0,51.7,182.6,2315.0,2627.0
2026-06-12,DailySummary,2336,65.4,247.6,37.3,68.2,189.3,2318.0,3334.0
2026-06-13,DailySummary,2130,79.0,218.8,29.6,43.5,136.0,2792.0,3443.0
2026-06-14,DailySummary,2440,75.8,240.7,34.0,49.2,198.8,2119.0,3044.0
2026-06-15,DailySummary,2278,77.6,217.9,28.8,38.7,176.9,2525.0,4073.0
2026-06-16,DailySummary,1986,48.1,228.4,42.6,61.6,159.8,2625.0,3684.0
2026-06-17,DailySummary,1953,52.1,238.4,35.7,22.6,132.7,2992.0,3093.0
2026-06-18,DailySummary,2347,74.0,257.9,37.8,23.6,162.4,3052.0,3005.0
2026-06-19,DailySummary,1820,71.1,157.6,26.6,69.1,137.3,2985.0,3437.0
2026-06-20,DailySummary,2084,74.0,208.7,38.7,42.9,145.9,3084.0,3707.0
2026-06-21,DailySummary,2122,65.8,221.0,38.4,45.5,161.5,2633.0,2936.0
2026-06-22,DailySummary,1913,44.3,241.3,22.7,48.0,137.3,1872.0,4118.0
2026-06-23,DailySummary,2261,58.7,238.0,33.4,71.3,195.2,2166.0,4042.0
2026-06-24,DailySummary,2308,65.1,263.2,28.3,49.6,167.3,2993.0,2982.0
2026-06-25,DailySummary,2225,53.2,269.9,39.7,38.7,166.6,1699.0,3663.0
2026-06-26,DailySummary,2252,75.7,223.5,26.7,34.7,169.2,2249.0,3304.0
2026-06-27,DailySummary,2255,73.8,257.3,36.6,62.8,140.5,1788.0,3423.0
2026-06-28,DailySummary,2398,60.9,283.0,35.5,57.3,179.6,2519.0,3736.0
2026-06-29,DailySummary,2289,72.7,235.3,25.4,56.1,173.3,2260.0,3484.0
2026-06-30,DailySummary,2373,67.9,274.9,31.6,48.7,165.6,2572.0,2464.0
2026-07-01,DailySummary,2682,81.4,294.4,36.8,60.7,192.9,2559.0,3790.0
2026-07-02,DailySummary,2310,78.4,226.1,44.2,30.0,175.0,2493.0,2714.0
2026-07-03,DailySummary,2312,78.9,205.9,29.9,66.4,194.5,2108.0,3230.0
2026-07-04,DailySummary,2020,35.0,279.9,37.7,36.7,146.3,2038.0,2622.0
2026-07-05,DailySummary,2321,73.8,257.6,25.8,55.2,156.6,2484.0,2961.0
2026-07-06,DailySummary,2458,82.8,275.4,32.1,31.9,152.8,2150.0,2930.0
2026-07-07,DailySummary,1886,59.1,224.1,26.3,53.9,114.4,2711.0,3338.0
2026-07-08,DailySummary,1939,57.7,211.6,19.1,66.7,143.3,2286.0,2801.0
2026-07-09,DailySummary,2201,45.8,262.2,29.5,42.7,184.9,1837.0,2993.0
2026-07-10,DailySummary,2036,48.7,217.8,36.5,64.9,181.6,2251.0,2669.0
2026-07-11,DailySummary,2309,78.9,235.7,31.2,35.0,164.0,2231.0,2644.0
2026-07-12,DailySummary,2211,42.2,300.3,32.1,33.8,157.6,2597.0,3865.0
2026-07-13,DailySummary,2195,49.2,203.0,29.0,25.2,235.1,1934.0,3293.0
2026-07-14,DailySummary,2221,57.4,267.5,21.7,39.2,158.6,2214.0,2874.0
2026-07-15,DailySummary,2072,60.8,211.3,29.1,63.9,169.8,2475.0,3157.0
2026-07-16,DailySummary,2272,56.5,271.9,38.2,20.8,168.9,2872.0,2804.0
2026-07-17,DailySummary,2021,67.4,181.9,32.9,59.2,171.8,2651.0,3156.0
2026-07-18,DailySummary,2084,76.1,197.7,45.8,27.2,152.0,2410.0,3405.0
2026-07-19,DailySummary,2304,77.1,255.9,38.5,46.8,146.6,3276.0,3280.0
2026-07-20,DailySummary,2220,76.8,209.2,27.5,60.3,172.9,1871.0,2994.0
2026-07-21,DailySummary,2103,67.6,220.2,27.2,67.5,153.5,2430.0,4080.0
2026-07-22,DailySummary,2259,75.8,237.9,22.6,36.9,156.4,2595.0,3050.0
2026-07-23,DailySummary,2263,74.1,229.9,38.7,42.9,169.1,2216.0,3777.0
2026-07-24,DailySummary,2442,82.5,261.3,43.5,76.9,163.7,2380.0,3641.0
2026-07-25,DailySummary,2102,75.4,165.2,41.0,48.9,190.6,1829.0,3170.0
2026-07-26,DailySummary,2006,60.2,227.9,37.2,35.5,138.2,2588.0,3347.0
2026-07-27,DailySummary,1999,61.4,185.8,28.2,34.7,175.8,2599.0,3421.0
2026-07-28,DailySummary,2443,85.8,242.1,40.0,48.4,175.7,2692.0,3038.0
2026-07-29,DailySummary,1845,47.9,207.4,30.7,74.2,146.1,2442.0,3483.0
2026-07-30,DailySummary,2023,67.7,194.4,20.1,10.1,159.0,3180.0,3362.0
2026-07-31,DailySummary,2080,58.6,213.0,32.8,53.4,175.1,2990.0,3798.0
2026-08-01,DailySummary,2114,82.7,175.2,32.5,43.5,167.3,2373.0,3083.0
2026-08-02,DailySummary,2009,73.5,182.1,29.5,19.9,154.8,2128.0,3162.0
2026-08-03,DailySummary,1836,62.2,176.9,36.6,40.5,142.2,2333.0,3352.0
